booking_id,customer_name,email,phone,date,time,guests,timestamp,status
83456f19-f674-4a2e-9db6-471b4862c16a,kiran,kiran@gmail.com,9632587410,2025-12-16,11:30,5,2025-05-17 11:47:00,pending
690e866a-fd1d-45cb-91c0-406c14a05d84,kiran,kiran@gmail.com,9632587410,2025-02-16,17:30,5,2025-05-17 18:03:27,pending
20ca285b-612d-4a71-91bb-b195cdc6e5b3,kiran,kiran@gmail.com,9632587410,2025-12-16,16:30,4,2025-05-19 18:21:42,pending
d47f7151-ba71-44fd-8f59-d59b286a3b51,kiran,kiran@gmail.com,9632587410,2025-12-16,16:30,5,2025-05-19 18:33:22,pending
033864ac-71fe-45a4-b1ef-071e1ee42e39,kiran,kiran@gmail.com,962587410,2025-12-12,17:30,10,2025-05-19 18:37:56,pending
92adf466-7c3f-49eb-aeb3-c82071443f76,kiran,kiran@gmail.com,956874103,2025-02-12,11:30,6,2025-05-19 18:47:15,pending
25edba9b-28c7-4bb5-8d78-fd833ae492d3,kiran,kiran@gmail.com,602587410,2025-12-16,18:30,5,2025-05-19 20:50:27,pending
6072a1da-26f9-45c5-84f5-4d916f194bfe,kiran,kiran@gmail.com,856741230,2025-12-16,18:30,5,2025-05-19 20:51:46,pending
4cebe568-4b5a-45cf-bf8d-d560e521c750,kiran,kiran@gmail.com,874512690,2025-12-16,19:30,5,2025-05-19 20:59:45,pending
0f8e7dd9-1cbb-4aef-b7c5-edf0afb14c54,kiran,kiran@gmail.com,7515946300,2025-12-12,16:30,5,2025-05-19 21:03:35,pending
0fd8095a-1e42-45a9-9b15-7610c3f22e68,kiran,kiran@gmail.com,962587410,2025-02-12,16:30,5,2025-05-19 21:23:45,pending
d3a6cb47-cbcf-4039-8fe1-478ef661770e,kiran,kiran@gmail.com,8529631470,2025-12-12,16:30,5,2025-05-20 12:02:02,pending
31e49df8-b23a-492e-b14e-b962a2baf400,kiran,kiran@gmail.com,8562147034,2025-12-12,17:30,5,2025-05-20 12:06:26,pending
2cdbed88-beb3-42b1-b433-652a68c5dc07,kiran,kiran@gmail.com,8564710328,2025-12-12,17:30,10,2025-05-20 18:20:43,pending
1b70e630-5ffe-4a80-9b76-8422a7aff10c,kiran,kiran@gmail.com,7025896140,2025-12-12,13:30,5,2025-05-20 19:11:36,pending
f24c3fc5-9d72-43f7-9f5b-ded7f8363eb4,kiran,kiran@gmail.com,7515924601,2025-12-12,17:30,5,2025-05-20 19:28:45,pending
7b34b0b2-4108-4ca0-8dbd-088fe54480c1,kiran,kiran@gmail.com,9512476905,2025-12-12,11:30,5,2025-05-20 19:58:57,pending
44d8be05-0202-4a32-ac38-fc04108e5dab,kiran,kiran@gmail.com,8521479630,2025-12-16,17:30,5,2025-05-20 22:21:29,pending
c423f9dd-3e33-43c9-b5f2-1d61cd01bf34,kiran,kiran@gmail.com,8562314710,2025-12-12,11:00,5,2025-05-20 22:33:39,pending
0d970d60-361d-4582-bf12-632013354638,kiran,kiran@gmail.com,9632587410,2025-12-12,17:30,5,2025-05-29 15:27:51,pending
22370670-4e67-4cad-9dc6-ea319fde249c,kiran,kiran@gmail.com,8956231470,2024-12-12,11:30,5,2025-05-30 14:22:01,pending
47b535e8-04b4-402b-a9a0-cceb2f306702,kiran,kiran@gmail.com,962587410,2025-12-16,11:30,5,2025-06-01 21:55:56,pending
fc5802e4-97bc-479a-a502-9d9e7bb786c7,kiran,kiran@gmail.com,9856471230,2025-12-12,11:00,5,2025-06-02 15:56:19,pending
